Currency_base,Currency_dest,Date,Exchange_Rate,Description
EUR,PLN,2023-02-10,4.781,"ECB reference exchange rate, Polish zloty/Euro, 2:15 pm (C.E.T.)"
EUR,RON,2023-02-09,4.8935,"ECB reference exchange rate, Romanian leu/Euro, 2:15 pm (C.E.T.)"
EUR,RON,2023-02-10,4.902,"ECB reference exchange rate, Romanian leu/Euro, 2:15 pm (C.E.T.)"
EUR,SEK,2023-02-09,11.139,"ECB reference exchange rate, Swedish krona/Euro, 2:15 pm (C.E.T.)"
EUR,SEK,2023-02-10,11.163,"ECB reference exchange rate, Swedish krona/Euro, 2:15 pm (C.E.T.)"
EUR,SGD,2023-02-09,1.4237,"ECB reference exchange rate, Singapore dollar/Euro, 2:15 pm (C.E.T.)"
EUR,SGD,2023-02-10,1.4199,"ECB reference exchange rate, Singapore dollar/Euro, 2:15 pm (C.E.T.)"
EUR,THB,2023-02-09,36.013,"ECB reference exchange rate, Thai baht/Euro, 2:15 pm (C.E.T.)"
EUR,THB,2023-02-10,36.057,"ECB reference exchange rate, Thai baht/Euro, 2:15 pm (C.E.T.)"
EUR,TRY,2023-02-09,20.2844,"ECB reference exchange rate, Turkish lira/Euro, 2:15 pm (C.E.T.)"
EUR,TRY,2023-02-10,20.1357,"ECB reference exchange rate, Turkish lira/Euro, 2:15 pm (C.E.T.)"
EUR,USD,2023-02-09,1.0771,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
EUR,USD,2023-02-10,1.069,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
EUR,ZAR,2023-02-09,19.0134,"ECB reference exchange rate, South African rand/Euro, 2:15 pm (C.E.T.)"
EUR,ZAR,2023-02-10,19.0834,"ECB reference exchange rate, South African rand/Euro, 2:15 pm (C.E.T.)"
